member_casual,end_station_name,end_count
casual,Halsted St & 18th St,1305
casual,Richmond St & Diversey Ave,1304
casual,Damen Ave & Walnut (Lake) St,1295
casual,Emerald Ave & 31st St,1293
casual,Kosciuszko Park,1274
casual,Sheridan Rd & Argyle St,1266
casual,Ravenswood Ave & Berteau Ave,1260
casual,Wells St & 19th St,1248
casual,Clinton St & Tilden St,1245
casual,Lake Park Ave & 35th St,1245
casual,Paulina St & Montrose Ave,1243
casual,Chicago Ave & Washington St,1243
casual,Talman Ave & Addison St,1231
casual,Clark St & Elmdale Ave,1230
casual,Central Park Ave & Elbridge Ave,1224
casual,Paulina St & Flournoy St,1212
casual,Winchester Ave & Elston Ave,1208
casual,Sheridan Rd & Columbia Ave,1207
casual,Morgan Ave & 14th Pl,1202
casual,Damen Ave & Sunnyside Ave,1197
casual,Clinton St & 18th St,1193
casual,Racine Ave & Congress Pkwy,1189
casual,University Library (NU),1186
casual,Laflin St & Cullerton St,1171
casual,State St & 19th St,1167
casual,Racine Ave & 15th St,1160
casual,Leavitt St & Addison St,1160
casual,California Ave & Montrose Ave,1158
casual,Milwaukee Ave & Fullerton Ave,1149
casual,Western Ave & Roscoe St,1131
casual,Avers Ave & Belmont Ave,1110
casual,W Oakdale Ave & N Broadway,1100
casual,May St & Cullerton St,1087
casual,Lincoln Ave & Roscoe St,1087
casual,Ellis Ave & 53rd St,1084
casual,Claremont Ave & Hirsch St,1076
casual,Hampden Ct & Diversey Ave,1063
casual,Troy St & Elston Ave,1057
casual,Southport Ave & Clark St,1050
casual,Morgan St & 31st St,1034
casual,Clark St & Schreiber Ave,1034
casual,California Ave & Byron St,1023
casual,Lake Park Ave & 47th St,1009
casual,Wentworth Ave & 24th St (Temp),992
casual,Wolcott Ave & Polk St,975
casual,Rockwell St & Eastwood Ave,966
casual,Lincoln Ave & Winona St,961
casual,Western Ave & Congress Pkwy,959
casual,Spaulding Ave & Division St,954
casual,Sheridan Rd & Greenleaf Ave,951
casual,Kimball Ave & Belmont Ave,940
casual,Rhodes Ave & 32nd St,937
casual,Greenview Ave & Jarvis Ave,935
casual,Damen Ave & Wabansia Ave,930
casual,Leavitt St & Lawrence Ave,926
casual,Harper Ave & 59th St,924
casual,Oakley Ave & Irving Park Rd,921
casual,Clark St & Lunt Ave,915
casual,Wilton Ave & Diversey Pkwy*,909
casual,Racine Ave & Fullerton Ave (Temp),900
casual,Washtenaw Ave & Lawrence Ave,897
casual,State St & 35th St,896
casual,Halsted St & 35th St,893
casual,Calumet Ave & 33rd St,889
casual,Wood St & Taylor St (Temp),864
casual,Halsted St & Archer Ave,845
casual,Smith Park,815
casual,Indiana Ave & 26th St,812
casual,Western Ave & Fillmore St,812
casual,Halsted St & 21st St,801
casual,Hoyne Ave & Balmoral Ave,795
casual,Lincoln Ave & Belmont Ave,795
casual,Ogden Ave & Congress Pkwy,795
casual,Artesian Ave & Hubbard St,780
casual,Central Park Ave & North Ave,775
casual,Clark St & Columbia Ave,770
casual,Wentworth Ave & 35th St,765
casual,Winchester (Ravenswood) Ave & Balmoral Ave,764
casual,Christiana Ave & Lawrence Ave,763
casual,Campbell Ave & Montrose Ave,749
casual,Greenwood Ave & 47th St,743
casual,W Armitage Ave & N Sheffield Ave,739
casual,Canal St & Harrison St,735
casual,Cottage Grove Ave & Oakwood Blvd,724
casual,Paulina St & Howard St,715
casual,Albany Ave & Montrose Ave,708
casual,Francisco Ave & Foster Ave,707
casual,Wentworth Ave & 33rd St,703
casual,Avondale Ave & Irving Park Rd,699
casual,Keystone Ave & Fullerton Ave,680
casual,Western Ave & Monroe St,677
casual,Monticello Ave & Irving Park Rd,677
casual,Indiana Ave & 31st St,664
casual,Eastlake Ter & Rogers Ave,662
casual,Kedzie Ave & Leland Ave,652
casual,Hermitage Ave & Polk St,650
casual,Rockwell St & Fletcher St,646
casual,Cottage Grove Ave & 51st St,645
casual,Malcolm X College Vaccination Site,643
casual,Emerald Ave & 28th St,629
casual,Cherry Ave & Blackhawk St,628
casual,Shields Ave & 31st St,611
casual,Broadway & Wilson Ave,579
casual,MLK Jr Dr & Pershing Rd,574
casual,Western Ave & 21st St,572
casual,Cottage Grove Ave & 63rd St,561
casual,South Shore Dr & 71st St,551
casual,Drake Ave & Addison St,549
casual,Kedzie Ave & Foster Ave,549
casual,Western Ave & Granville Ave,548
casual,Cottage Grove Ave & 47th St,545
casual,Warren Park West,543
casual,Loomis St & Archer Ave,542
casual,Drake Ave & Montrose Ave,534
casual,Halsted St & North Branch St,533
casual,Prairie Ave & Garfield Blvd,532
casual,Wallace St & 35th St,525
casual,Manor Ave & Leland Ave,525
casual,Elston Ave & George St,522
casual,Calumet Ave & 35th St,520
casual,Woodlawn Ave & Lake Park Ave,513
casual,Glenwood Ave & Touhy Ave,511
casual,Ashland Ave & 13th St,506
casual,Evanston Civic Center,502
casual,California Ave & 21st St,502
casual,South Shore Dr & 67th St,499
casual,63rd St Beach,493
casual,Bernard St & Elston Ave,492
casual,Shields Ave & 28th Pl,489
casual,Ogden Ave & Roosevelt Rd,489
casual,N Sheffield Ave & W Wellington Ave,482
casual,N Carpenter St & W Lake St,480
casual,Wood St & Webster Ave,474
